Date,Open,High,Low,Close,Adj Close,Volume
2017-01-05,37.400002,37.599998,36.299999,36.349998,35.369007,774300
2017-01-06,36.450001,36.549999,35.500000,35.900002,34.931160,556200
2017-01-09,35.750000,35.900002,35.299999,35.400002,34.444653,269200
2017-01-10,35.500000,36.049999,35.250000,35.799999,34.833851,229100
2017-01-11,35.849998,36.419998,35.599998,36.299999,35.320358,348300
2017-01-12,36.099998,36.450001,36.000000,36.049999,35.077114,243200
2017-01-13,36.150002,36.400002,35.349998,35.950001,34.979801,328800
2017-01-17,35.799999,36.450001,35.450001,35.549999,34.590599,285900
2017-01-18,35.400002,36.000000,35.099998,35.900002,34.931160,331000
2017-01-19,35.799999,36.130001,35.150002,35.200001,34.250042,281500
2017-01-20,35.200001,36.000000,34.700001,34.950001,34.006790,510500
2017-01-23,34.950001,35.980000,34.849998,35.799999,34.833851,341600
2017-01-24,35.900002,36.099998,35.549999,35.900002,34.931160,142000
2017-01-25,35.950001,36.299999,35.549999,36.000000,35.028458,325800
2017-01-26,35.799999,36.200001,35.500000,35.549999,34.590599,229400
2017-01-27,35.549999,35.750000,34.700001,35.200001,34.250042,187300
2017-01-30,35.000000,35.349998,34.799999,35.200001,34.250042,405000
2017-01-31,35.099998,35.650002,34.849998,35.549999,34.590599,401400
2017-02-01,35.599998,35.650002,34.700001,34.700001,33.763538,174600
2017-02-02,34.599998,35.049999,34.599998,34.700001,33.763538,163200
2017-02-03,34.950001,35.080002,34.580002,35.000000,34.055443,228200
2017-02-06,35.250000,35.549999,34.650002,34.849998,33.909492,290200
2017-02-07,34.849998,35.299999,34.799999,34.950001,34.006790,152900
2017-02-08,34.849998,35.750000,34.700001,35.650002,34.687904,249600
2017-02-09,35.650002,36.599998,35.650002,36.150002,35.174412,291300
2017-02-10,36.299999,37.450001,36.299999,37.400002,36.390671,399300
2017-02-13,37.599998,37.770000,36.900002,37.250000,36.244720,256400
2017-02-14,37.000000,37.450001,36.900002,37.299999,36.293373,333600
2017-02-15,37.150002,37.400002,36.500000,37.299999,36.293373,275200
2017-02-16,37.299999,37.650002,36.369999,37.200001,36.196079,272200
2017-02-17,37.150002,37.349998,36.750000,37.299999,36.293373,401700
2017-02-21,37.450001,37.700001,36.950001,37.250000,36.244720,297800
