Date,Open,High,Low,Close,Adj Close,Volume
2017-01-05,7.150000,7.150000,6.890000,7.080000,7.080000,1389100
2017-01-06,7.120000,7.160000,6.950000,7.000000,7.000000,553200
2017-01-09,7.000000,7.150000,6.900000,7.060000,7.060000,693300
2017-01-10,7.040000,7.290000,7.010000,7.180000,7.180000,581100
2017-01-11,7.220000,7.230000,7.040000,7.150000,7.150000,652200
2017-01-12,7.130000,7.130000,6.920000,7.050000,7.050000,791600
2017-01-13,7.060000,7.240000,6.960000,7.070000,7.070000,656900
2017-01-17,7.080000,7.210000,7.030000,7.120000,7.120000,553000
2017-01-18,7.130000,7.190000,6.890000,7.180000,7.180000,968900
2017-01-19,7.180000,7.290000,6.940000,6.980000,6.980000,864800
2017-01-20,6.970000,7.180000,6.970000,7.160000,7.160000,603500
2017-01-23,7.190000,7.190000,6.980000,7.070000,7.070000,756400
2017-01-24,7.070000,7.240000,7.040000,7.190000,7.190000,1440300
2017-01-25,7.200000,7.370000,7.180000,7.320000,7.320000,965000
2017-01-26,7.370000,7.400000,7.180000,7.210000,7.210000,503000
2017-01-27,7.200000,7.260000,7.100000,7.220000,7.220000,565900
2017-01-30,7.170000,7.260000,7.020000,7.230000,7.230000,738300
2017-01-31,7.090000,7.320000,7.020000,7.300000,7.300000,1194300
2017-02-01,7.340000,7.540000,7.190000,7.290000,7.290000,1387600
2017-02-02,7.300000,7.300000,6.940000,6.960000,6.960000,1325300
2017-02-03,6.890000,7.000000,6.680000,6.770000,6.770000,1286500
2017-02-06,6.780000,6.810000,6.630000,6.810000,6.810000,1159500
2017-02-07,6.850000,6.880000,6.620000,6.660000,6.660000,798000
2017-02-08,6.640000,6.810000,6.450000,6.770000,6.770000,1286800
2017-02-09,6.800000,7.110000,6.800000,7.000000,7.000000,1133300
2017-02-10,7.060000,7.330000,7.050000,7.110000,7.110000,2279200
2017-02-13,7.140000,7.270000,7.110000,7.210000,7.210000,1071800
2017-02-14,7.170000,7.350000,7.160000,7.310000,7.310000,808500
2017-02-15,7.270000,7.370000,7.190000,7.200000,7.200000,1203300
2017-02-16,7.210000,7.250000,6.930000,7.000000,7.000000,865000
2017-02-17,7.000000,7.030000,6.890000,6.980000,6.980000,821900
2017-02-21,6.960000,6.990000,6.780000,6.930000,6.930000,1419200
2017-02-22,6.960000,7.080000,6.820000,6.860000,6.860000,679600
2017-02-23,6.780000,6.850000,6.670000,6.740000,6.740000,1267000
2017-02-24,6.690000,6.810000,6.610000,6.660000,6.660000,1001200
2017-02-27,6.660000,6.800000,6.550000,6.710000,6.710000,1536100
2017-02-28,6.690000,6.720000,6.550000,6.650000,6.650000,1780000
2017-03-01,6.320000,6.940000,6.260000,6.900000,6.900000,4736800
2017-03-02,6.810000,7.290000,6.570000,7.210000,7.210000,2841300
2017-03-03,7.210000,7.360000,6.990000,7.060000,7.060000,1472600
2017-03-06,7.000000,7.140000,6.920000,7.130000,7.130000,974100
2017-03-07,7.080000,7.110000,6.680000,6.780000,6.780000,1470400
2017-03-08,6.850000,6.900000,6.690000,6.780000,6.780000,966300
2017-03-09,6.760000,6.760000,6.500000,6.690000,6.690000,1210800
2017-03-10,6.750000,6.780000,6.660000,6.730000,6.730000,815400
2017-03-13,6.720000,6.770000,6.570000,6.650000,6.650000,531500
2017-03-14,6.620000,6.670000,6.460000,6.480000,6.480000,773600
2017-03-15,6.500000,6.600000,6.390000,6.560000,6.560000,797700
2017-03-16,6.590000,6.770000,6.530000,6.730000,6.730000,644300
2017-03-17,6.730000,6.840000,6.630000,6.800000,6.800000,1137000
2017-03-20,6.770000,6.870000,6.740000,6.770000,6.770000,465200
2017-03-21,6.820000,6.840000,6.510000,6.540000,6.540000,846200
2017-03-22,6.530000,6.570000,6.410000,6.490000,6.490000,996900
